relative_path,directory,filename,extension,size_bytes,modified_at,file_hash,preliminary_category,priority,duplicate_status,document_group,notes
Apresentação de conjuntura/ATR_Conjuntura_2025.12.pptx,Apresentação de conjuntura,ATR_Conjuntura_2025.12.pptx,pptx,960815,2026-09-22T11:18:42Z,20fb9a49f4f546bc63fd7e7492815065,apresentação de conjuntura,P1,unico,conjuntura-4T2025-atual,
Apresentação de conjuntura/ATR_Reforma trabalhista_dezembro2021 (2).pptx,Apresentação de conjuntura,ATR_Reforma trabalhista_dezembro2021 (2).pptx,pptx,3648442,2026-09-22T11:18:42Z,b0c70d53f1da6cd2941bc1d63ad25407,reforma trabalhista,P3,POSSIVEL_VERSAO,reforma-trabalhista-dez2021,
Apresentação de conjuntura/ATR_Reforma trabalhista_dezembro2021.pptx,Apresentação de conjuntura,ATR_Reforma trabalhista_dezembro2021.pptx,pptx,3648442,2026-09-22T11:18:42Z,208358d1271561f85d389e9742c59dd1,reforma trabalhista,P2,POSSIVEL_VERSAO,reforma-trabalhista-dez2021,
Apresentação de conjuntura/Apresentação_Conjuntura_4T_2025.xlsx,Apresentação de conjuntura,Apresentação_Conjuntura_4T_2025.xlsx,xlsx,457708,2026-09-22T11:18:42Z,a5f687a1f95f18cdcf541f6a9ab5a5b4,análise de conjuntura,P1,POSSIVEL_VERSAO,conjuntura-4T2025-atual,
Apresentação de conjuntura/Backup/Dados_2025.03/Dados Brutos/202502_Tabelas_de_estatisticas_monetarias_e_de_credito.xlsx,Apresentação de conjuntura/Backup/Dados_2025.03/Dados Brutos,202502_Tabelas_de_estatisticas_monetarias_e_de_credito.xlsx,xlsx,995096,2026-09-22T11:18:42Z,9be8ae573af7677232e51f6debe3eac5,crédito e juros,P2,BACKUP_APARENTE,snapshot-2025-03,
Apresentação de conjuntura/Backup/Dados_2025.03/Dados Brutos/20741.csv,Apresentação de conjuntura/Backup/Dados_2025.03/Dados Brutos,20741.csv,csv,334,2026-09-22T11:18:42Z,8533cca999660863dd93f54651d4acb0,bases e planilhas,P2,POSSIVEL_VERSAO;BACKUP_APARENTE,snapshot-2025-03,
Apresentação de conjuntura/Backup/Dados_2025.03/Dados Brutos/20742.csv,Apresentação de conjuntura/Backup/Dados_2025.03/Dados Brutos,20742.csv,csv,2083,2026-09-22T11:18:42Z,d75366ba8aee413c721425dbc959babf,bases e planilhas,P2,POSSIVEL_VERSAO;BACKUP_APARENTE,snapshot-2025-03,
Apresentação de conjuntura/Backup/Dados_2025.03/Dados Brutos/20747.csv,Apresentação de conjuntura/Backup/Dados_2025.03/Dados Brutos,20747.csv,csv,338,2026-09-22T11:18:42Z,498fdb8219cfaa46c7da256b505979a8,bases e planilhas,P2,POSSIVEL_VERSAO;BACKUP_APARENTE,snapshot-2025-03,
Apresentação de conjuntura/Backup/Dados_2025.03/Dados Brutos/20749.csv,Apresentação de conjuntura/Backup/Dados_2025.03/Dados Brutos,20749.csv,csv,327,2026-09-22T11:18:42Z,ff16b397ae64ca9adcf934d1185b2e1d,bases e planilhas,P2,POSSIVEL_VERSAO;BACKUP_APARENTE,snapshot-2025-03,
Apresentação de conjuntura/Backup/Dados_2025.03/Dados Brutos/20772.csv,Apresentação de conjuntura/Backup/Dados_2025.03/Dados Brutos,20772.csv,csv,358,2026-09-22T11:18:42Z,776968047219dc7df2169565e9ccb3cf,bases e planilhas,P2,POSSIVEL_VERSAO;BACKUP_APARENTE,snapshot-2025-03,
